University,Program,Degree,Entrance Semester,Decision,Decision Date,GPA,GRE Verbal,GRE Writing,GRE,Date Added,Notes
University Of Toronto,Clinical Psychology (UTSC),Masters,F23,Rejected,2023-04-13,,,,,2023-04-13,
Lehigh University,Social Psychology,PhD,F23,Rejected,2023-04-13,4.00,,,,2023-04-13,"Email to check portal, there was a generic rejection letter. I'm currently in a master's program GPA 3.95"
Fielding Graduate University,Clinical Psychology,PhD,F23,Interview,,,,,,2023-04-12,
University Of Minn,School Psychology,Masters,F23,Accepted,2023-04-07,,,,,2023-04-12,
Georgia Institute Of Technology,Psychology,PhD,F23,Rejected,2023-04-12,,,,,2023-04-12,Email to check update via portal
University Of Missouri,School Psychology,PhD,F23,Interview,,,,,,2023-04-12,If you aren't going to accept please reject. We're coming up on the deadline and please do not let the deadline just pass please let the waitlist people have an opportunity!
Southern Methodist University,Clinical Psychology,PhD,F23,Accepted,2023-01-27,3.70,,,,2023-04-12,Notice of acceptance sent by PI on 1/27/2023. Accepted the offer 4/11/2023
UT Southwestern,Clinical Psychology,PhD,F23,Rejected,2023-04-12,3.70,,,,2023-04-12,Rejected from waitlist. All spots have been filled for 2023 Cohort
University Of Toronto,Clinical Child Psychology,Masters,F23,Rejected,2023-04-12,,,,,2023-04-12,
Georgia State University,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-04-12,If you were extended an offer are you planning to accept? Trying to see what my chances are coming off of the waitlist..
University Of Central Florida,Clinical Psychology,PhD,F23,Rejected,2023-04-11,,,,,2023-04-12,waitlisted then rejected
"University Of California, Irvine",Clinical Psychology,PhD,F23,Rejected,2023-04-11,3.79,,,,2023-04-11,"Email to check portal. Disappointed, but not surprised."
University Of Ottawa,Clinical Psychology,PhD,F23,Accepted,2023-02-24,3.70,,,,2023-04-11,"Got in on the first try. My GPA is definitely not the highest and I had no publications. I focused on volunteering in 2 research labs, volunteering in the community and did an honours thesis during my 4th year in undergrad (currently). Don't forget, NETWORKING IS IMPORTANT! Meet with potential PIs beforehand and volunteer in their labs before application season, it will help you stand out when they have to pick a student to supervise."
George Mason University,Applied Developmental Psychology,Masters,F23,Accepted,2023-04-11,3.90,,,,2023-04-11,
George Mason University,Human Factors And Applied Cognition Psychology,PhD,F23,Accepted,2023-03-07,,,,,2023-04-10,
George Mason University,MA Psychology - Cognitive And Behavioral Neuroscience,Masters,F23,Accepted,2023-04-10,,,,,2023-04-10,
"University Of California, Santa Barbara",Social Psychology,PhD,F23,Rejected,2023-04-10,3.70,,,,2023-04-10,
Texas Tech University,Clinical Psychology,PhD,F23,Accepted,2023-04-10,4.00,,,,2023-04-10,
Carnegie Mellon University,Psychology,PhD,F23,Accepted,2023-04-10,,,,,2023-04-10,
Catholic University Of America,Clinical Psychology,PhD,F23,Rejected,2023-04-09,,,,,2023-04-09,"Interviewed, waitlisted, rejected"
Penn State University,Clinical Psychology,PhD,F23,Rejected,2023-04-09,,,,,2023-04-09,"Interviewed, placed on the alternative list, waitlisted"
"University Of Las Vegas, Nevada",Clinical Psychology,PhD,F23,Accepted,2023-04-08,,,,,2023-04-08,Accepted an offer from my first choice program! So excited as it has taken me 10 years to get here!
"University Of California, Los Angeles",Social Psychology,PhD,F23,Rejected,2023-04-08,3.92,,,,2023-04-08,2 publications.
University Of Pittsburgh,Applied Developmental Psychology,PhD,F23,Wait listed,,,,,,2023-04-07,Is anyone get the result?
St. Thomas,Clinical Psychology,Masters,F23,Accepted,2023-03-17,,,,,2023-04-07,
New York University,Psychology (Forensic Concentration),Masters,F23,Accepted,2023-04-07,3.56,,,,2023-04-07,"strong statement of purpose, 3 years of research exp, 3 strong recommendations all have PhDs in the field"
Simon Fraser University,Counselling Psychology,Masters,F23,Rejected,2023-04-04,3.00,,,,2023-04-07,"Was told there were too many ""great applicants and not enough space""."
Purdue University - West Lafayette,Counseling Psychology,PhD,F23,Interview,,,,,,2023-04-06,"Whoever has the offer from Purdue, I would really appreciate it if you could decline the offer soon if you have no intention of accepting it - this is my first choice program. Wish you best of luck!!"
University Of Missouri,School Psychology,PhD,F23,Wait listed,,3.89,,,,2023-04-05,"If youâ€™re not planning on accepting, pleaseee decline."
Ball State University,Counseling Psychology,PhD,F23,Wait listed,,3.98,,,,2023-04-05,Please release your offer if you don't intend to take it :(
Northwestern University,Clinical Psychology,Masters,F23,Wait listed,,3.89,,,,2023-04-05,"I emailed them bc I hadn't heard anything, accepting an offer at UChicago, but congratulations to others who got into this great program!"
University Of North Carolina Wilmington (UNCW),Clinical Psychology,PhD,S23,Rejected,2023-04-05,3.98,,,,2023-04-05,"Got a generic rejection email after interview weekend. Congratulations to everyone who got in!! This cycle was apparently especially brutal, so hats off to those who were successful :)"
University Of Michigan (Dearborn),Clinical Health Psychology,Masters,F23,Accepted,2023-04-05,3.80,,,,2023-04-05,"No GRE submitted. No email yet. I just happened to check the portal, where I saw ""Your Decision is ready"" waiting to get some info on funding before I make a decision. Good Luck to all!"
Wright Institute,Clinical Psychology,PsyD,F23,Wait listed,,3.30,,,,2023-04-05,MA GPA 3.9;  also had four admissions from PhD programs so will not be accepting my waitlist spot.
Augsburg University,Clinical Psychology,PsyD,F23,Interview,,,,,,2023-04-05,In-person interview on 04/11
Simon Fraser University,Counselling Psychology,Masters,F23,Rejected,2023-04-04,,,,,2023-04-04,
San Diego State University,Psychology,Masters,F23,Wait listed,,,,,,2023-04-04,"Really hoping that I get in off the waitlist, this masters program is an awesome opportunity."
Nova Southeastern University,Clinical Psychology,PsyD,F23,Accepted,2023-03-30,3.95,,,,2023-04-04,"Been tough having to wait this long, but so glad I was ACCEPTED!  I've already told them I'm in!!
Not a lot of PsyD programs around, hopefully everyone had a safety (Nova was mine!) that they can pull the trigger on before the 4/15 APA deadline.
Best of luck everyone.  See you out in the field in a few years!!"
Nova Southeastern University,Clinical Psychology,PsyD,F23,Accepted,2023-03-30,3.80,,,,2023-04-04,"Accepted and will accept next week.  Just to help everyone else that might be hoping, it's my understanding from a helpful person involved with the admissions committee that they have had higher rate of acceptance this year and aren't expecting more spots to open up going forward.  Likely if you haven't been accepted and are waitlisted, it's not going to happen.  I'm sorry, but I know I would want to know so I could begin to make plans and other options.  They do seem to keep a lot of people on the hook unnecessarily."
University Of New Brunswick,MEd Counselling Psychology,Masters,F23,Rejected,2023-04-03,,,,,2023-04-04,
McGill University,MEd Counselling Psychology (project Stream),Masters,F23,Rejected,2023-03-23,,,,,2023-04-04,
University Of Ottawa,Masters Of Education Counselling Psychology,Masters,F23,Accepted,2023-04-04,,,,,2023-04-04,had to check the portal
Bowling Green State University,Clinical Psychology,PhD,F23,Accepted,2023-04-04,,,,,2023-04-04,Accepted off the waitlist! I'll be accepting the offer!
Temple University,School Psychology,Masters,F23,Accepted,2023-04-04,3.30,,,,2023-04-04,
San Jose State University,Psychology,Masters,F23,Accepted,2023-04-03,3.80,,,,2023-04-03,Received an email last week of my acceptance followed by an official letter in the mail. Is my top choice so I will be accepting the offer. Congrats and good luck to everyone in the Fall 2023 cohort!
Kean University,School And Clinical Psychology,PsyD,F23,Rejected,2023-04-03,,,,,2023-04-03,
McGill University,Psychology,Other,F23,Accepted,2023-03-14,,,,,2023-04-03,
SUNY Albany,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-04-03,Has anyone heard back from SUNY Albany? I've been in the dark since interviews.
Illinois School Of Professional Psychology At National Louis University (Chicago),Clinical Psychology,PsyD,F23,Accepted,2023-03-28,,,,,2023-04-03,
University Of Toronto,School And Clinical Child Psychology,Masters,F23,Rejected,2023-04-03,,,,,2023-04-03,
University Of Calgary,Clinical Psychology,PhD,F23,Rejected,2023-03-24,3.90,,,,2023-04-03,
University Of Massachusetts (Lowell),Applied Psychology & Prevention Science,PhD,F23,Accepted,2023-02-20,3.80,,,,2023-04-02,Interviewed earlier in the month and then informed by PI three weeks later.  Formal acceptance from the director a few days later.
"University Of California, Los Angeles",Psychology,PhD,F23,Accepted,2023-04-01,,,,,2023-04-01,
Kean University,School-Clinical Child Psychology,PsyD,S23,Wait listed,,3.90,,,,2023-04-01,
University Of Texas At Dallas,Psychology,Masters,F23,Rejected,2023-03-30,,,,,2023-04-01,
"California State University, Northridge",School Psychology,Masters,F23,Accepted,2023-03-31,3.93,143,4.00,144,2023-04-01,Super happy I was admitted. Slightly before one month since interview.
Loyola University Chicago,School Psychology,Masters,F23,Accepted,2023-03-31,,,,,2023-03-31,(EdS) got off of the waitlist
George Washington University,Clinical Psychology,PhD,S23,Wait listed,,,,,,2023-03-31,Currently on waitlist for JG
Nova Southeastern University,Clinical Psychology,PsyD,F23,Accepted,2023-03-30,,,,,2023-03-31,Accepted into the PsyD and am an alternate for the PhD. Iâ€™ll be declining the offer though. Hopefully this helps someone!
University Of Southern California,Speech Language Pathology,Masters,F23,Accepted,2023-03-29,3.79,,,,2023-03-31,"My undergrad degree was in Psychology and my post-bacc is in CSD with a 4.0 GPA. Strong LORs, strong essay! I was in complete shock!!"
Nova Southeastern University,Clinical Psychology,PsyD,F23,Wait listed,,3.96,,,,2023-03-30,"Was told I had a high rating by faculty, but not high enough. Not sure if they put this on everyone who was waitlisted's email? They said there's a chance people would drop their acceptance in the summer and i could be admitted. But that doesn't leave me much time to move states. Please let them know if you aren't planning on attending!"
Nova Southeastern University,Clinical Psychology,PsyD,F23,Wait listed,,3.97,,,,2023-03-30,"Got waitlisted.. I am in the masters in forensic psychology at this school currently. If you are not intending to enroll in the fall, please let them know!! This is my top choice :("
Nova Southeastern University,Clinical Psychology,PsyD,S23,Wait listed,,3.95,,,,2023-03-30,"Waitlisted with message that the faculty interviewer rated me very high but my (overall?) score wasnâ€™t high enough.
My impressions of the program during interview day make me not mad about this result though. They very much tried to sell us their program, without allowing us to ask questions and catering to us. My three interviews resulted in a grand total of four questions, two generic ones by the faculty, and two more specific ones by the students. I am assuming I did not get accepted because one of these student questions was what non-psych non-textbook non-fiction book do you read, and I made it clear that I had attention difficulties and thus did not read often. If they use that to judge someoneâ€™s aspirations for learning, that says a lot about their program while also speaking to poor accessibility and inclusion. Every other interview day I have been to has asked better questions and seemed to acknowledge how much I loved learning. Just because someone cannot focus for hours on a book does not mean that they donâ€™t love learning."
Univeristy Of Regina,Clinical Psychology,Masters,F23,Rejected,2023-03-29,3.00,,,,2023-03-29,Canadian Applicant
Kean University,Clinical Psychology,PsyD,F23,Rejected,2023-03-29,3.66,,,,2023-03-29,
Rutgers Universityâ€“New Brunswick,Clinical Psychology,PsyD,F23,Rejected,2023-03-29,4.00,,,,2023-03-29,
LIU Brooklyn,Clinical Psychology,PhD,S23,Accepted,2023-03-29,,,,,2023-03-29,"Can anyone who was accepted into a ridiculously expensive and basically unfunded program let me know how tf to consider this, or if its ridiculous to even do so? Ideally someone w/o parents who will pay (happy for you guys though!)"
University Of British Columbia,Clinical Psychology,Masters,F23,Rejected,2023-03-29,3.91,,,,2023-03-29,
Appalachian State University,Clinical Psychology,PsyD,F23,Wait listed,,3.91,,,,2023-03-29,
Texas Tech University,Clinical Psychology,PhD,F23,Accepted,2023-02-24,3.87,,,,2023-03-29,Accepted off of waitlist.
Kean University,Clinical Psychology,PsyD,F23,Rejected,2023-03-29,,,,,2023-03-29,
"University Of California, Los Angeles",Education (Human Development And Psychology,PhD,F23,Rejected,2023-03-29,,,,,2023-03-29,
Chestnut Hill College,Clinical Psychology,PsyD,F23,Interview,,3.63,,,,2023-03-28,
Loyola University Chicago,Clinical Psychology,PhD,F23,Accepted,2023-03-06,3.99,,,,2023-03-28,Acceptance via phone and then email notification.
City College Of New York,Clinical Psychology,PhD,F23,Rejected,2023-03-14,,,,,2023-03-28,
Loyola University Chicago,School Psychology,Masters,F23,Wait listed,,,,,,2023-03-28,(EdS) Ignore Status // Has anyone had any luck getting off the waitlist yet?
The Wright Institute,Clinical Psychology,PsyD,F23,Accepted,2023-03-22,,,,,2023-03-27,
University Of Texas At Arlington,Experimental Psychology,PhD,F23,Accepted,2023-03-27,,,,,2023-03-27,has anyone heard anything for the experimental program? anyone interview?
UCR,School Psychology,PhD,F23,Wait listed,,,,,,2023-03-27,"TTPB: I applied to the Ph.D. in Education at UCR, but to a different specialization than School Psychology, and I still have yet to hear back. It's been complete radio silence. I've considered reaching out to the grad coordinator, considering it's almost April. I heard back from other UC schools that had a Dec 1st deadline two months ago now. I'm not sure what's taking UCR so long at this point. Not sure if we're unofficially waitlisted or rejected or what. I'd just like to hear back. It's Spring Break this week for UCR, so hopefully the staff will have some time to send these decisions out."
University Of Florida,Clinical Psychology,PhD,F23,Accepted,2023-03-24,,,,,2023-03-27,
University Of Oregon,Clinical Psychology,PhD,F23,Wait listed,,4.00,,,,2023-03-27,Waitlisted for a while nowâ€“ still hopeful for this program.
University Of Toronto,Counseling Psychology,Masters,F23,Accepted,2023-03-24,4.00,,,,2023-03-26,
The Wright Institute,Clinical Psychology,PsyD,F23,Accepted,2023-03-24,,,,,2023-03-26,"i was so nervous, but grateful for my acceptance. interviewed valentineâ€™s day"
Pepperdine University,Clinical Psychology,Masters,F23,Accepted,2023-03-26,3.50,,,,2023-03-26,"Received phone call on 3/24, this is for the daytime masters program!"
Texas A&M University - College Station (TAMU),Counseling Psychology,PhD,F23,Accepted,2023-02-01,,166,,159,2023-03-26,"International student, master's degree in education, 3 papers in process, 2 poster presentation"
The Wright Institute,Clinical Psychology,PsyD,F23,Accepted,2023-03-24,,,,,2023-03-25,"i was so nervous, but grateful for my acceptance. interviewed valentineâ€™s day"
McGill University,Clinical Psychology,PhD,F23,Rejected,2023-03-24,,,,,2023-03-24,"Masters Degree, 6 years of research experience, no interview"
University Of North Carolina,Clinical Psychology,PhD,F23,Rejected,2023-03-24,,,,,2023-03-24,
Palo Alto University,Clinical Psychology,PhD,F23,Accepted,2023-03-24,,,,,2023-03-24,
McGill University,Quantitative Psychology,PhD,F23,Rejected,2023-03-24,4.00,,,,2023-03-24,master's gpa. no interview.
University Of Kansas,Clinical Psychology,PhD,F23,Accepted,2023-03-23,,,,,2023-03-24,
Umass Lowell,Applied Psychology And Prevention Science,PhD,F23,Rejected,2023-03-23,,,,,2023-03-23,
University Of British Columbia Vancouver,Clinical Psychology,PhD,F23,Rejected,2023-03-23,,,,,2023-03-23,
Chaminade University,Clinical Psychology,PsyD,F23,Accepted,2023-03-17,3.90,,,,2023-03-23,
Boston University,Clinical Psychology,PhD,F23,Rejected,2023-03-23,,,,,2023-03-23,
Oklahoma State University,Counseling Psychology,PhD,F23,Accepted,2023-03-22,3.70,,,,2023-03-23,"PostBachelors Doctoral Program.
Grateful to have been accepted. Iâ€™m proud of all those who applied itâ€™s a scary process."
UNC Chapel Hill,Social Psychology,PhD,F23,Rejected,2023-03-22,,,,,2023-03-23,
New York University,Industrial Organizational Psychology,Masters,F23,Accepted,2023-03-23,4.00,,,,2023-03-23,
California State University Long Beach,Counseling Psychology,Masters,F23,Rejected,2023-01-12,,,,,2023-03-23,
University Of Arizona,Educational Psychology,Masters,F23,Accepted,2023-03-01,3.20,,,,2023-03-22,"Got an email from the department notifying me that my application was moving forward to the graduate school review, but it was an acceptance, and I have since received the official notification from UofA."
University Of Toledo,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-03-22,"Ignore status. Has anyone heard back from UToledo, I assume I'm on the waitlist or out-right rejected and they haven't told me."
Virginia Commonwealth University,Social Psychology,PhD,F23,Rejected,2023-03-22,4.00,168,5.00,154,2023-03-22,"Email from PI, apparently I was the second choice :( I'm currently in a master's program GPA 3.95"
University Of Detroit Mercy,Clinical Psychology,PhD,F23,Accepted,2023-03-21,,,,,2023-03-22,Waiting to see other offers before accepting
University Of Guelph,Clinical Psychology,Masters,F23,Accepted,2023-03-22,3.81,,,,2023-03-22,"No GRE. Came in after 4 years post-grad and in professional work. 4th cycle, got in off the waitlist."
University Of Detroit Mercy,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-03-22,
"University Of California, Irvine",Psychology,PhD,F23,Accepted,2023-03-22,4.00,,,,2023-03-22,
UNC Chapel Hill,Clinical Psychology,PhD,F23,Rejected,2023-03-22,,,,,2023-03-22,email to check portal
University Of North Carolina,School Psychology,PhD,F23,Rejected,2023-03-22,4.00,157,5.50,157,2023-03-22,"Didn't get an email, just happened to check the portal. GPA is graduate. Interviewed with the program director back in February before applications closed. Hadn't heard anything, but already accepted an offer from another program."
Yeshiva University,Clinical Psychology,PsyD,F23,Wait listed,,,,,,2023-03-22,"I was alerted of my waitlist status a few weeks ago- wanted to ask if anyone knew, how likely it is to get off the waitlist and when will schools usually alert you?"
University Of Ottawa,Sport Psychology,Masters,F23,Accepted,2023-02-18,4.00,,,,2023-03-22,
Bowling Green State University,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-03-22,
SUNY Buffalo,Counseling Psychology,PhD,F23,Accepted,2023-03-17,3.50,,,,2023-03-22,
McGill University,Quantitative Psychology,Masters,F23,Rejected,2023-03-21,,,,,2023-03-22,"Received email from admissions that a decision has been made on my application. Somewhat expected, did not interview with anyone."
University Of Denver,Forensic Psychology,Masters,F23,Accepted,2023-03-22,3.50,,,,2023-03-22,Notified by informal email from the Associate Dean. Waiting on official acceptance letter.
Middle Tennessee State University,Industrial Organizational Psychology,Masters,F23,Accepted,2023-03-21,3.59,159,4.50,159,2023-03-21,The head of the program literally emailed by at like 9:54pm. Love an unhinged professor. No word on graduate assistantships though.
City College Of New York,Clinical Psychology,PhD,S23,Accepted,2023-03-15,,,,,2023-03-21,Accepted off the waitlist
Palo Alto University,Clinical Psychology,PhD,S22,Accepted,2023-03-20,,,,,2023-03-21,
The Wright Institute,Clinical Psychology PsyD,PsyD,S23,Accepted,2023-03-21,,,,,2023-03-21,
Eastern Kentucky University,Clinical Psychology,PsyD,F23,Wait listed,,,,,,2023-03-21,Got waitlisted for admission. Is anyone who was accepted planning on declining?
Case Western Reserve University,Clinical Psychology,PhD,F23,Rejected,2023-03-19,3.70,,,,2023-03-21,2 years research experience; super bummed
Pepperdine University,Clinical Psychology,PsyD,F23,Accepted,2023-03-10,,,,,2023-03-21,
McGill University,Counselling Psychology,Masters,F23,Wait listed,,,,,,2023-03-21,
Adelphi University,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-03-21,I was waitlisted a few weeks ago and received word today I am still on the alternate list. Please do decline an offer if you do not intend to accept!
University Of Nebraskaâ€“Lincoln,Law-Psychology,PhD,F23,Rejected,2023-03-21,3.91,,,,2023-03-21,
Queens College,Clinical Psychology,PhD,F23,Wait listed,,3.96,,,,2023-03-21,"Was never formally waitlisted, had to reach out to QNS Clinical Psych email several weeks after interview to receive word. Apparently still on the waitlist as I haven't been rejected yet and was told to continue waiting until the deadline.
For any/those who still haven't made a decision regarding their admission to CUNY please do so soon!"
University Of Northern Colorado,Counseling Psychology,PhD,F23,Accepted,2023-01-31,3.50,,,,2023-03-21,"4.0 Psych GPA at uni after transferring from CC, 1 year of research. Lots of clinical experience."
University Of Toronto,School And Clinical Child Psychology (OISE),Masters,F23,Rejected,2023-03-21,,,,,2023-03-21,
York University,Psychology,Masters,F23,Accepted,2023-03-15,,,,,2023-03-20,BBCS Specialization
University Of Toronto,Clinical And Counselling Psychology,Masters,F23,Rejected,2023-03-20,,,,,2023-03-20,
Northwestern University,School Psychology,PhD,F23,Rejected,2023-03-20,,,,,2023-03-20,
University Of Texas At Tyler,Clinical Psychology,PhD,F23,Accepted,2023-03-20,2.57,162,4.00,154,2023-03-20,PI BG called me to notify me. Email will follow.
Cornell University,Psychology,PhD,F23,Rejected,2023-03-16,,,,,2023-03-20,
Marshall University,Clinical Psychology,PsyD,F23,Accepted,2023-03-17,3.33,,,,2023-03-20,(GPA within psych major is 3.7) Was notified of acceptance in-person during campus tour.
SUNY Stony Brook,Clinical Psychology,PhD,F23,Wait listed,,,,,,2023-03-20,A friendly reminder that if you received an offer and do not plan on accepting to notify SBU as soon as you can! This is my top choice
University Of Toronto,School And Clinical Child Psychology (OISE),Masters,F23,Accepted,2023-03-16,3.90,,,,2023-03-20,I received an unofficial email a couple weeks back and then last week I got the email notification to say my status had changed on the portal. The letter of acceptance/funding offer were on the portal! I accepted on Friday.
